State,Program,HNumber,City,StartDate,Census
FL,Suncoast PACE,H3430,Petersburg,9/1/2009,338
FL,The PACE Place,H7469,Jacksonville,3/1/2020,117
IA,PACE Iowa,H0216,Council Bluffs,1/1/2012,437
IA,Siouxland PACE,H8424,Sioux City,8/1/2008,229
IN,Ascension Living St. Vincent PACE,H1742,Indianapolis,7/1/2023,17
IN,BoldAge PACE Indiana,H5080,Evansville,3/1/2024,0
IN,Franciscan Senior Health & Wellness,H5124,Indianapolis,1/1/2015,257
IN,PACE of Northeast Indiana,H0235,Fort Wayne,5/1/2021,67
IN,Reid Health PACE Center,H3522,Richmond,11/1/2020,60
IN,Saint Joseph PACE (Trinity),H9842,Mishawaka,9/1/2016,171
KS,Ascension Living HOPE,H1714,Wichita,9/1/2002,306
KS,Bluestem PACE,H9438,Newton,8/1/2016,111
KS,Midland Care PACE,H5822,Topeka,1/1/2007,556
KY,Bluegrass PACE Care,H1980,Lexington,8/1/2022,20
KY,BoldAge PACE Kentucky,H6868,Owensboro,3/1/2024,0
LA,PACE Baton Rouge,H6231,Baton Rouge,7/1/2008,267
LA,PACE Greater New Orleans,H1904,New Orleans,9/1/2007,146
MA,CHA PACE,H2221,Cambridge,4/1/1995,659
MA,Element Care,H2222,Lynn,4/1/1995,1016
MA,Harbor Health Elder Service Plan,H2218,Dorchester,2/1/1996,593
MA,Mercy LIFE MA (Trinity),H0809,Holyoke,3/1/2014,222
MA,Neighborhood PACE,H2223,East Boston,6/1/1990,802
MA,Serenity Care PACE,H0477,Springfield,6/1/2014,515
MA,Summit ElderCare,H2219,Worcester,11/1/1995,1400
MA,Upham’s PACE,H2220,Boston,2/1/1996,287
MD,Hopkins ElderPlus,H2109,Baltimore,1/1/1996,147
MI,Ascension Living PACE Michigan,H8769,Flint,8/1/2015,233
MI,Care Resources,H5610,Grand Rapids,10/1/2006,344
MI,Community PACE at Home,H5085,Newaygo,7/1/2017,99
MI,Great Lakes PACE,H9185,Saginaw,5/1/2015,179
MI,Huron Valley PACE,H4118,Ypsilanti,3/1/2014,279
MI,LifeCircles,H2936,Muskegon,2/1/2009,401
MI,PACE Central Michigan,H2882,Mount Pleasant,11/1/2018,218
MI,PACE North,H4256,Traverse City,10/1/2019,190
MI,PACE Southeast Michigan,H2318,Detroit,5/1/1995,1727
MI,Senior Care Partners PACE,H1310,Battle Creek,4/1/2009,622
MI,Senior CommUnity Care of Michigan,H6787,Lansing,4/1/2015,202
MI,Sunrise PACE,H9052,Fort Gratiot,11/1/2021,49
MI,Thome PACE,H2835,Jackson,3/1/2016,217
MI,PACE KC,H8992,Kansas City,3/1/2024,0
NC,CarePartners PACE,H6846,Asheville,3/1/2015,198
NC,Carolina Senior Care,H1357,Lexington,10/1/2012,131
NC,Elderhaus PACE,H3942,Wilmington,2/1/2008,112
NC,LIFE St. Joseph of the Pines (Trinity),H1500,Fayetteville,1/1/2011,207
NC,PACE of the Southern Piedmont,H4714,Charlotte,7/1/2013,191
NC,PACE of the Triad,H6059,Greensboro,7/1/2011,236
NC,PACE@Home,H4326,Newton,1/1/2012,149
NC,Piedmont Health SeniorCare,H9266,Carrboro,11/1/2008,281
NC,Randolph Health StayWell Senior Care,H1533,Asheboro,12/1/2014,88
NC,Senior CommUnity Care of NC,H0839,Durham,7/1/2013,160
NC,Senior TLC,H4235,Gastonia,1/1/2014,261
ND,Northland PACE,H7195,Bismarck,8/1/2008,190
NE,PACE Nebraska,H7003,Omaha,5/1/2013,221
NJ,AtlantiCare LIFE Connection,H7619,Atlantic City,11/1/2017,162
NJ,Beacon of LIFE,H9323,Oceanport,10/1/2015,363
NJ,Capital Health LIFE,H1234,Trenton,4/1/2009,240
NJ,Inspira Health LIFE,H6887,Vineland,8/1/2011,270
NJ,Lutheran Senior Life at Jersey City,H6371,Jersey City,7/1/2010,99
NJ,Trinity Health LIFE New Jersey (Trinity),H3493,Camden,5/1/2009,170
NM,InnovAge New Mexico PACE,H5213,Albuquerque,2/1/1998,482
NY,ArchCare Senior Life,H4393,New York,11/1/2009,785
NY,Catholic Health LIFE,H1518,Buffalo,11/1/2009,231
NY,CenterLight Healthcare,H3329,Bronx,2/1/1992,5553
NY,Complete SeniorCare,H8777,Niagara Falls,9/1/2011,132
NY,Eddy SeniorCare (Trinity),H3322,Schenectady,10/1/1996,359
NY,ElderONE,H3331,Rochester,5/1/1992,730
NY,Fallon Health Weinberg,H6596,Amherst,3/1/2016,162
NY,PACE CNY,H3321,North Syracuse,12/1/1997,539
NY,"Total Senior Care, Inc.",H8800,Olean,2/1/2009,128
OH,McGregor PACE,H3613,Cleveland Heights,11/1/1997,653
OK,Cherokee Elder Care,H4142,Tahlequah,8/1/2008,211
OK,LIFE PACE,H6941,Tulsa,1/1/2015,237
OK,Valir PACE,H7114,Oklahoma City,1/1/2015,339
OR,AllCare PACE,H0247,Grants Pass,3/1/2021,71
OR,Providence ElderPlace PACE Oregon,H3809,Portland,6/1/1990,1870
PA,Albright LIFE,H9068,Williamsport,1/1/2012,171
PA,Albright LIFE (Formerly SpiriTrust Lutheran LIFE),H2537,Chambersburg,11/1/2008,83
PA,Community LIFE,H3917,Pittsburgh,3/1/2000,814
PA,InnovAge Pennsylvania LIFE,H9830,Philadelphia,4/1/2007,689
PA,LIFE Armstrong County,H6188,Kittanning,4/1/2015,95
PA,LIFE Beaver County,H7660,Aliquippa,3/1/2013,447
PA,LIFE Butler County,H3060,Butler,9/1/2008,171
PA,LIFE Geisinger,H2064,Danville,1/1/2006,419
PA,LIFE NWPA,H4999,Erie,11/1/2013,688
PA,LIFE Pittsburgh,H3918,Pittsburgh,2/1/1999,526
PA,LIFE St. Mary (Trinity),H6551,Langhorne,3/1/2010,253
PA,Mercy LIFE – West Philadelphia (Trinity),H3908,Philadelphia,10/1/1998,335
PA,Mercy LIFE PA (Trinity),H3919,Philadelphia,10/1/1998,827
PA,SeniorLIFE Ebensburg,H5902,Ebensburg,5/1/2011,575
PA,SeniorLIFE Greensburg,H2937,Greensburg,2/1/2013,217
PA,SeniorLIFE Johnstown,H3925,Johnstown,1/1/2006,250
PA,SeniorLIFE Lehigh Valley,H5978,Bethlehem,2/1/2009,577
PA,SeniorLIFE Washington,H2992,Washington,12/1/2009,633
PA,SeniorLIFE York,H0819,York,4/1/2010,404
RI,PACE Organization of Rhode Island,H4105,Riverside,12/1/2005,410
SC,Orangeburg Senior Helping Center,H0105,Orangeburg,3/1/2008,89
SC,Prisma Health SeniorCare PACE – Midlands,H4203,Columbia,10/1/1990,308
SC,Prisma Health SeniorCare PACE - Upstate,H4053,Greenville,4/1/2016,124
TN,Ascension Living Alexian PACE,H4402,Chattanooga,10/1/1998,277
TX,Bienvivir Senior Health Services,H4518,El Paso,2/1/1992,845
TX,Silver Star PACE,H9998,Lubbock,5/1/2010,160
TX,The Basics at Jan Werner,H4517,Amarillo,3/1/2004,135
VA,AllCARE for Seniors,H2386,Cedar Bluff,5/1/2008,135
VA,Centra PACE,H8096,Lynchburg,2/1/2009,322
VA,Cherry Blossom PACE,H3991,Alexandria,1/1/2022,31
VA,InnovAge Virginia PACE - Blue Ridge,H3473,Charlottesville,3/1/2014,242
VA,InnovAge Virginia PACE - Roanoke Valley,H1239,Roanoke,11/1/2013,254
VA,Mountain Empire PACE,H5037,Big Stone Gap,4/1/2008,89
VA,Sentara PACE,H2941,Virginia Beach,11/1/2007,240
WA,International Community Health Services,H3084,Seattle,7/1/2019,94
WA,Pacific Northwest PACE Partners,H3284,Tacoma,1/1/2022,121
WA,Providence ElderPlace Seattle,H5007,Seattle,10/1/1995,1250
WI,Community Care,H5212,Milwaukee,11/1/1990,527
